,Title,Price,Brand,Model,Display Size,CPU Model,RAM,Operating system
191,"Dell Alienware x14 Gaming Laptop, Intel i7-12700H, 14 “(35.5cm) FHD 144Hz 400nits GSYNC+Advanced Optimus,16GB DDR5, 512GB SSD, Nvidia RTX 3050 Ti 4GB, Dolby Atmos, Lunar Light (1.84 kgs) D569938WIN9","1,49,990.",  Brand   Dell  ,  Model Name   Alienware x14  ,  Screen Size   14 Inches  ,  CPU Model   Core i7  ,  RAM Memory Installed Size   16 GB  ,  Operating System   Windows 11  
192,"ASUS Windows 11 Home VivoBook 13 Slate OLED, Intel Pentium Silver N6000, 13.3 Inches(33.7cm) - FHD OLED Touch 2-in-1 Laptop (8GB/256GB SSD/Office 2021/Win 11/Black), T3300KA-LQ111WS","39,990.00",  Brand   ASUS  ,  Model Name   VivoBook 13 Slate OLED  ,  Screen Size   13.3 Inches  ,  CPU Model   Pentium  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
193,"Lenovo IdeaPad Slim 3 Intel Core i3-1115G4 11th Gen 15.6"" (39.62cm) FHD Laptop (8GB/256GB SSD/Win 11/Office 2021/2 Year Warranty/3 Month Game Pass/Platinum Grey/1.7Kg), 81X800LCIN","32,902.00",  Brand   Lenovo  ,  Model Name   IdeaPad  ,  Screen Size   15.6 Inches  ,  CPU Model   Core i3  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
194,"HP Chromebook 11a, MediaTek MT8183 Processor 11.6 inch(29.5 cm) Thin and Light Touchscreen Laptop (4 GB RAM/64 GB eMMC/ Chrome OS /Fast Charge/Google Assistant/Indigo Blue/1.07Kg), na0002MU, 1.07Kg","18,999.00",  Brand   HP  ,  Model Name   Chromebook 11a-na0005MU  ,  Screen Size   11.6 Inches  ,  CPU Model   MediaTek MT8183  ,  RAM Memory Installed Size   4 GB  ,  Operating System   Chrome OS  
195,"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU","28,490.00",  Brand   HP  ,  Series   15s-ey1508AU  ,  Screen Size   15.6 Inches  ,  CPU Model   Ryzen 3  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
196,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram & 256 GB SSD, Windows 10 Pro, 1.71Kg)","19,013.00",  Brand   Dell  ,None,  Screen Size   14.1 Inches  ,  CPU Model   Core i5 6200U  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 10 Pro  
197,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","24,990.00",  Brand   ASUS  ,  Series   VivoBook 15 (2021)  ,  Screen Size   15.6 Inches  ,  CPU Model   Celeron N4020  ,  RAM Memory Installed Size   4 GB  ,  Operating System   Windows 11 Home  
198,"2021 Apple MacBook Pro (14-inch/35.97 cm, Apple M1 Pro chip with 8-core CPU and 14-core GPU, 16GB RAM, 512GB SSD) - Silver","1,94,900.",  Brand   Apple  ,  Model Name   MacBook Pro  ,  Screen Size   35.97 Centimetres  ,  CPU Model   Apple M1  ,  RAM Memory Installed Size   16 GB  ,  Operating System   macOS 12 Monterey  
199,"Lenovo Yoga Slim 7 Carbon 11th Gen Intel Core i7 13.3"" (33.78cm) QHD IPS Ultra-Light & Thin Laptop (16GB/1TB SSD/Windows 10/MS Office/Intel Iris Xe GFX/Carbon Fiber/Moon White/0.96 Kg), 82EV003WIN","1,34,990.",  Brand   Lenovo  ,  Series   Yoga Slim 7i Carbon  ,  Screen Size   13.3 Inches  ,  CPU Model   Core i7  ,  RAM Memory Installed Size   16 GB  ,  Operating System   Windows 10 Home  
200,"2020 Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","86,990.00",  Brand   Apple  ,  Model Name   MacBook Air  ,  Screen Size   13 Inches  ,  CPU Model   Core M Family  ,  RAM Memory Installed Size   8 GB  ,  Operating System   MacOS 10.14 Mojave  
